"x","y","B2","B3","B4","B5","B6","B7","B8","B8A","B11","B12","Class","Landuse","Class_ID"
679654.205902184,4764054.15475778,244,538,283,843,3025,3025,4355,4764,2357,1093,"Class_4","Grass",4
679656.723548048,4764054.15475778,244,538,283,843,3025,3025,4355,4764,2357,1093,"Class_4","Grass",4
679659.241193912,4764054.15475778,244,538,283,843,3025,3025,4355,4764,2357,1093,"Class_4","Grass",4
679661.758839775,4764054.15475778,224,540,234,887,3267,3267,4738,5040,2450,1114,"Class_4","Grass",4
679664.276485639,4764054.15475778,224,540,234,887,3267,3267,4738,5040,2450,1114,"Class_4","Grass",4
679666.794131503,4764054.15475778,224,540,234,887,3267,3267,4738,5040,2450,1114,"Class_4","Grass",4
679669.311777367,4764054.15475778,224,540,234,887,3267,3267,4738,5040,2450,1114,"Class_4","Grass",4
679671.82942323,4764054.15475778,226,545,258,887,3267,3267,5028,5040,2450,1114,"Class_4","Grass",4
679674.347069094,4764054.15475778,226,545,258,887,3267,3267,5028,5040,2450,1114,"Class_4","Grass",4
679676.864714958,4764054.15475778,226,545,258,887,3267,3267,5028,5040,2450,1114,"Class_4","Grass",4
679679.382360822,4764054.15475778,226,545,258,887,3267,3267,5028,5040,2450,1114,"Class_4","Grass",4
679681.900006686,4764054.15475778,334,681,411,1040,3298,3298,4873,4949,2627,1268,"Class_4","Grass",4
679684.417652549,4764054.15475778,334,681,411,1040,3298,3298,4873,4949,2627,1268,"Class_4","Grass",4
679686.935298413,4764054.15475778,334,681,411,1040,3298,3298,4873,4949,2627,1268,"Class_4","Grass",4
679689.452944277,4764054.15475778,334,681,411,1040,3298,3298,4873,4949,2627,1268,"Class_4","Grass",4
679691.970590141,4764054.15475778,371,723,540,1040,3298,3298,4586,4949,2627,1268,"Class_4","Grass",4
679694.488236005,4764054.15475778,371,723,540,1040,3298,3298,4586,4949,2627,1268,"Class_4","Grass",4
679697.005881868,4764054.15475778,371,723,540,1040,3298,3298,4586,4949,2627,1268,"Class_4","Grass",4
679699.523527732,4764054.15475778,371,723,540,1040,3298,3298,4586,4949,2627,1268,"Class_4","Grass",4
679702.041173596,4764054.15475778,328,652,497,1161,3108,3108,4624,4763,2661,1343,"Class_4","Grass",4
679704.55881946,4764054.15475778,328,652,497,1161,3108,3108,4624,4763,2661,1343,"Class_4","Grass",4
679707.076465324,4764054.15475778,328,652,497,1161,3108,3108,4624,4763,2661,1343,"Class_4","Grass",4
679709.594111187,4764054.15475778,328,652,497,1161,3108,3108,4624,4763,2661,1343,"Class_4","Grass",4
679712.111757051,4764054.15475778,382,692,537,1161,3108,3108,4497,4763,2661,1343,"Class_4","Grass",4
679714.629402915,4764054.15475778,382,692,537,1161,3108,3108,4497,4763,2661,1343,"Class_4","Grass",4
679717.147048779,4764054.15475778,382,692,537,1161,3108,3108,4497,4763,2661,1343,"Class_4","Grass",4
679719.664694643,4764054.15475778,382,692,537,1161,3108,3108,4497,4763,2661,1343,"Class_4","Grass",4
679762.464674327,4764054.15475778,679,984,1341,1397,2824,2824,3608,3904,2905,2123,"Class_1","Parking/road/pavement",1
679764.982320191,4764054.15475778,679,984,1341,1397,2824,2824,3608,3904,2905,2123,"Class_1","Parking/road/pavement",1
