"FIPS","x","y","cancer","poverty","smoking","PM25","NO2"
13161,1255596.03649704,1058523.50680669,99.72896918,19.1,27.8,13,0.711
13069,1239676.06580473,1027479.8464833,74.59544368,21.5,27.9,13,0.711
36073,1427249.18762924,2384624.13027908,68.36352415,12.5,29.1,10.09,3.238
36101,1515917.07198143,2289805.21895254,73.08058559,13.6,25.5,8.98,1.355
34021,1780222.64567531,2119053.23149167,53.28170905,8.7,19.9,12.09,5.688
13255,1081737.82245315,1199158.13678683,78.06835972,17.7,28.1,13.01,2.072
54051,1294707.94238844,1976028.34338634,75.05850255,15.1,30.7,13.93,3.699
54029,1290225.11325001,2050386.6310238,78.05193993,11.7,31.3,14.1,5.444
42133,1621663.15321537,2043017.97360089,59.84432393,7.9,25.2,13.37,3.662
37115,1186006.54791838,1505916.69668572,64.5276347,16,27.5,10.46,1.098
37133,1676336.56984707,1460888.57888238,81.4377885,15.1,27.2,10.19,1.067
54013,1274478.72997521,1857390.20871235,86.67216987,22.3,32.7,11.48,2.196
51125,1484760.23842607,1773042.45306426,69.97184361,11.4,24.9,10.99,1.544
51680,1466332.77751041,1725627.03778081,72.49573582,19.1,24.4,11.98,1.931
12005,995258.61990483,853221.60055834,83.49457615,13.6,28.3,10.9,0.54
12063,1027167.53469533,916072.31472747,73.48340095,18.9,27.4,11.92,0.559
13281,1108099.21922376,1389069.29385273,60.48916392,13.1,25.1,11.41,0.718
13225,1133468.48592733,1127832.38916412,90.10660718,20.8,26.1,13.05,1.188
51063,1373699.00203707,1656374.60939685,49.3709284,12,27.2,10.54,1.317
12021,1472615.20097093,453662.75015493,42.224776,9.8,23.7,6.79,0.547
36029,1397300.32763245,2323592.89347189,67.52503342,13.5,23.9,10.15,2.974
13151,1091082.44096119,1221936.75381514,67.88328863,7,21.9,13.21,3.06
12051,1483240.65249205,504594.44115108,67.40447524,22.1,27.6,7.73,0.625
51520,1222120.61518247,1597141.25291413,93.81153139,18.3,28.7,11.28,1.794
54065,1501884.09868036,1978349.92859048,79.79116959,11.8,29.6,11.47,3.305
51103,1693664.73117361,1807551.06818031,67.15779468,13.3,23.6,12.08,1.967
36121,1439265.33190928,2324433.9298709,60.19706642,10.3,28,9.14,1.794
42081,1561950.64839392,2193635.39467329,61.8623982,12.6,27,9.91,1.777
51017,1406203.3364847,1789944.57228578,69.88836818,8.4,27.2,10.32,1.181
51131,1752689.96376025,1775435.96133344,94.77256406,18.9,25.9,10.5,2.364
37057,1407800.14346266,1532761.67594231,72.68419362,12.7,29.9,12.89,2.233
37155,1528493.41098135,1422787.01317886,77.86116877,28.6,31.8,13.17,1.529
42097,1602057.9603765,2145493.00604531,63.48827776,12.3,28.1,11.01,2.251
42121,1341070.72144688,2158752.10958646,72.35583374,14.4,29.1,11.94,2.22
12081,1354520.32161831,587388.79845975,57.48577469,10.8,26.1,9.39,1.092
12033,824631.36193194,881054.58266682,76.13395083,15.9,27.3,10.29,0.974
51197,1311583.65051986,1644628.33955698,71.90947801,13.7,29.2,9.55,1.153
54045,1221701.59723287,1734554.26559403,120.6255643,21.9,33.8,10.44,2.149
12129,1113011.7854091,855830.32502956,83.95106503,12.2,28.2,10.58,0.643
13213,1018911.29377719,1363530.39239114,96.67451999,13.7,31.3,13.26,1.995
37013,1709880.2545525,1554745.80140988,77.2476201,18.4,26,10.94,1.054
37113,1132960.34495209,1418734.13223311,58.56506892,13.7,26.2,10.71,0.779
36009,1412014.7579812,2267732.69700326,64.78797598,14.8,27.7,9.6,1.565
36055,1471985.01980354,2381307.7283561,58.27867598,13.1,22,9.41,2.922
34015,1757950.47688418,2048967.10752682,75.64616866,6.7,25,12.59,5.696
13037,1073561.9768637,1003649.30548422,81.57546855,31,26.7,12.33,0.782
54039,1248201.79001942,1795739.97758637,87.00782167,14.5,27.8,11.58,2.67
11001,1620145.7743789,1926595.62128177,62.13390701,17.6,22.4,14.42,6.34
12075,1284149.80389466,783637.30716061,96.38626675,17.9,29.3,10.05,0.727
45085,1427140.30815309,1323124.19858258,69.08987365,18,26.8,12.05,1.489
51043,1533134.2726635,1933160.16049822,68.73352679,6.7,24.3,12.25,2.943
54021,1295165.50692575,1869902.77097809,71.45045396,22.8,29.2,11.64,2.292
34033,1743771.14899097,2031005.45231606,73.3611436,9.8,25.4,13,4.597
13193,1116496.71533259,1102091.27811303,73.19599229,26.5,28.5,12.88,1.046
13263,1066361.40833632,1134167.66084168,86.27770916,20.9,26.9,13.02,0.987
13093,1142014.88405621,1082724.61225842,53.45778677,25.2,27.8,13.08,0.872
51133,1693700.15791751,1825328.97398688,62.77144052,13,24.1,12.29,2.075
37105,1505940.86080808,1513658.56513053,73.28060895,13.9,26.5,13.93,1.908
45027,1446754.8165158,1298002.94611304,71.0955025,23.2,27.7,11.44,1.383
37127,1600385.57818846,1587248.99856363,70.57242766,14.6,25.5,14.01,1.577
51620,1676303.20242352,1683927.06146149,74.07346174,18.4,26,12.26,1.944
51049,1545565.80415349,1752895.87610571,67.51660161,15,28.7,11.24,1.765
51037,1519860.20553532,1691095.3979277,77.39210721,17.2,27.1,11.49,1.902
51115,1710730.90594571,1777230.96631961,60.87301299,8.7,24.8,12.19,1.995
51119,1686849.31692033,1794380.82179669,74.86176532,12.2,24.3,12.13,2.133
51015,1456078.91720387,1810843.49593575,63.84504065,7.7,25.6,10.84,1.433
54003,1523121.26423753,1971372.32922676,84.18952381,11.2,30.7,12.38,3.145
37163,1586724.02272554,1473472.82874242,70.63858799,19.2,27.5,12.8,1.409
51117,1552612.15391186,1659453.18115395,74.12920192,15.4,28.1,12.1,1.757
37035,1321432.02612379,1503977.36137759,68.97276969,11.4,25.6,12.11,2.196
13049,1318756.00641255,952508.07882175,83.7603794,21.5,30.6,11.66,0.64
37191,1611551.66743338,1520555.88163378,77.09309412,16.9,26.9,13.55,1.821
36023,1613685.10697905,2347274.96272444,65.0579127,14,26,8.93,1.493
37059,1376002.49492355,1542989.91617287,60.29119234,9.3,26.7,12.46,2.112
13291,1086530.75044082,1376942.08585907,62.47421709,13.9,25.1,11.54,0.88
36037,1435433.15033863,2357644.15258048,66.97455422,10.2,26.1,9.79,2.537
