FIPS,x,y,Cancer,Poverty,Smoking,PM25,NO2,SO2
37035,1321432.026,1503977.361,69,12.14,25.78,11.99,2.247333333,0.108931048
13049,1318756.006,952508.0788,83,23.02666667,30.75333333,10.73533333,0.753,0.023360332
37191,1611551.667,1520555.882,76,17.38666667,26.9,12.89266667,1.736933333,0.014442434
36023,1613685.107,2347274.963,65,14.45333333,24.92,8.912,1.686666667,0.02249919
37059,1376002.495,1542989.916,60,10.05333333,25.97333333,12.12933333,2.326533333,0.09012095
13291,1086530.75,1376942.086,62,14.79333333,25.21333333,11.34733333,0.900933333,0.043418764
36037,1435433.15,2357644.153,67,10.15333333,25.44,10.012,2.558533333,0.045821095
51159,1666241.838,1825977.972,68,17.26666667,28.79333333,11.484,2.175866667,0.08299332
13115,983511.4296,1300252.571,81,17.04,26.82666667,13.256,2.2278,0.189847276
45009,1378521.094,1235921.641,65,25.44,25.5,11.29066667,1.0986,0.034552977
42023,1467229.207,2185659.851,63,11.69333333,28.05333333,10.09733333,1.740466667,0.091801556
24009,1666038.768,1894678.827,68,5.46,22.88666667,12.58533333,2.8886,0.133364234
51127,1652922.898,1773161.116,80,5.626666667,24.48,11.34733333,2.578533333,0.083857622
13055,968986.5888,1322457.969,87,17.49333333,30.50666667,13.202,1.927666667,0.15694681
13241,1138683.737,1389143.35,68,14.74,24.92,11.10266667,0.7984,0.026398006
42117,1537131.813,2237598.109,60,13.80666667,25.39333333,9.308666667,1.612666667,0.05207866
45021,1295852.481,1430438.159,79,17.1,30.26666667,12.254,1.971,0.074208924
51149,1640404.662,1734227.045,67,8.906666667,24.88666667,11.55133333,2.593866667,0.074335136
45089,1492001.499,1300584.526,73,28.44666667,26.08666667,10.87133333,1.212133333,0.050556954
45003,1319815.773,1263983.766,68,15.08,25.48666667,11.71933333,1.271333333,0.026713313
13145,1031170.742,1134100.571,60,9.393333333,21.38,12.39666667,0.952266667,0.057190997
42049,1307535.891,2220156.836,69,14.02666667,27.22666667,11.41266667,2.5386,0.078515267
36067,1594290.542,2390104.004,66,12.77333333,23.46,9.342,2.217066667,0.019415654
37131,1642325.495,1646805.024,64,23.24666667,27.13333333,11.928,1.4642,0.0309088
51036,1650666.498,1755747.35,73,10.53333333,27.4,11.52333333,2.8706,0.080230738
51067,1414401.142,1670082.516,55,11.74666667,26.65333333,10.43333333,1.821,0.06122508
34019,1755884.159,2146097.44,46,3.413333333,16.98,10.99133333,4.996733333,0.063308726
13159,1135652.349,1212270.721,68,15.75333333,26.81333333,12.39266667,1.7292,0.167261261
37173,1121743.842,1455205.271,75,17.30666667,30.68,10.22066667,0.779933333,0.038159153
37187,1727246.941,1596012.316,69,22.26,27.06,9.89,1.518933333,0.012975895
13015,1017773.77,1301385.213,86,12.5,27.63333333,13.48733333,2.540066667,0.196600637
51071,1337018.762,1693779.243,83,11.37333333,27.88,9.333333333,1.865133333,0.03055773
51740,1723227.177,1712308.886,81,16.80666667,26.14666667,11.14866667,2.5748,0.051780903
24005,1639584.197,1994032.373,63,7.753333333,22.46,13.484,4.4376,0.135596137
24015,1694933.488,2018400.3,79,8.46,26.07333333,13.76,4.755933333,0.089461949
37079,1637921.407,1539543.085,68,20.49333333,26.16,12.72733333,1.618466667,0.013556089
24019,1713827.547,1896169.761,77,14.64,26.37333333,12.348,3.3664,0.071502067
37111,1247170.21,1494736.273,70,14.94,29.22666667,10.408,1.6632,0.06043457
13163,1256171.786,1199257.299,77,23.84,27.06,12.14933333,1.0764,0.040545905
13289,1169114.232,1143614.233,73,19.92,28.86,12.18733333,1.0758,0.070710838
51107,1563959.503,1936625.552,50,3.26,14.90666667,12.896,3.701533333,0.102731287
37139,1742060.758,1653103.173,74,18.08666667,26.09333333,10.12533333,1.4822,0.024836003
37005,1314686.836,1596855.37,63,17.64,28.08666667,9.848666667,1.2924,0.044066831
54009,1294492.84,2022929.839,76,12.44666667,30.58666667,13.258,4.1472,0.391901706
37067,1397694.609,1569407.773,67,14.14666667,25.45333333,12.11466667,2.743333333,0.090139443
45063,1346738.572,1308601.146,66,11.12666667,24.78666667,12.044,1.4006,0.032624567
10001,1737530.538,1972072.594,74,11.93333333,26.07333333,13.42266667,3.421533333,0.06929497
24027,1619605.459,1966057.211,42,4.446666667,13.88,13.384,4.7924,0.140965119
24029,1694052.145,1981950.218,65,11.78,22.96,13.53266667,4.581533333,0.102078797
24031,1599218.37,1948856.135,44,5.82,13.51333333,13.38066667,4.832066667,0.130191437
37091,1679783.717,1647579.887,70,23.35333333,26.52,11.362,1.4432,0.030431981
36003,1464342.964,2278548.815,67,16.50666667,24.69333333,9.233333333,1.309066667,0.044734191
37061,1626897.935,1474774.311,65,20.34,27.73333333,11.69,1.2014,0.016240834
