"FIPS","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
36091,3.303,2.903,3.549,3.1,2.649,2.635,1.426,1.937,1.519,1.492,1.273,1.164,1.067,1.007,1.205
37107,2.087,2.065,2.097,1.792,1.813,1.908,2.03,1.286,1.189,1.248,0.974,1,0.946,0.86,0.998
13215,1.14,1.038,1.399,1.26,1.27,1.348,0.923,1.329,0.969,0.794,0.757,0.766,0.623,0.437,0.443
42077,5.839,5.718,6.219,5.478,5.612,6.414,6.328,4.223,4.526,3.766,3.194,3.125,1.946,2.153,2.234
13089,5.49,5.946,6.87,5.563,5.24,4.371,4.852,5.28,3.907,2.725,4.565,3.295,3.334,2.983,2.947
51183,2.707,2.465,2.333,1.914,2.607,2.512,2.305,2.189,1.791,1.765,1.159,0.868,1.332,1.401,1.276
51840,5.11,4.663,5.046,3.431,3.965,2.168,3.608,3.181,2.766,2.614,2.396,1.128,1.642,1.76,1.367
37093,2.284,2.032,2.417,1.794,1.861,1.966,1.735,1.792,1.447,1.281,1.246,1.2,0.963,0.752,1.225
42083,2.125,2.344,2.081,2.245,1.673,1.123,1.687,1.599,1.363,1.299,1.204,1.087,0.534,0.609,1.03
45061,1.457,1.79,2.057,1.442,1.673,1.842,1.791,1.584,1.142,1.413,0.773,0.847,0.844,0.6,0.848
45051,1.348,1.442,1.756,1.265,1.416,1.602,1.372,1.116,0.857,0.95,0.706,0.625,0.602,0.482,0.541
37031,1.439,1.088,1.157,1.094,1.135,1.111,0.942,0.855,0.603,0.634,0.567,0.449,0.386,0.364,0.476
45005,1.178,1.248,1.496,1.288,1.392,1.097,1.102,1.152,0.614,0.934,0.545,0.647,0.666,0.412,0.446
37039,1.376,1.311,1.32,1.491,0.944,1.396,1.025,0.874,0.564,0.764,0.428,0.877,0.736,0.8,0.467
36027,2.967,2.933,3.73,3.506,2.99,3.696,4.149,2.07,1.909,1.2,1.565,1.457,1.007,1.3,1.561
13223,3.111,3.145,3.751,3.286,2.948,2.926,3.157,3.502,2.328,1.937,1.795,1.873,2.109,1.707,1.756
13117,2.026,2.048,2.41,2.306,2.278,2.246,2.164,2.173,1.498,1.601,1.715,1.234,1.442,1.386,1.137
42131,2.96,4.938,4.505,4.711,2.642,2.226,1.7,1.583,1.153,1.568,1.431,0.733,0.648,0.767,1.258
54075,1.247,1.551,1.171,1.036,1.18,0.859,0.933,1.004,0.953,0.572,1.023,0.378,0.765,0.597,0.75
13053,0.988,0.838,1.049,1.115,0.992,0.745,0.959,0.944,0.906,0.701,0.663,0.529,0.511,0.489,0.402
54019,2.742,2.588,1.991,1.96,1.934,1.663,1.407,1.547,1.822,1.535,1.206,0.842,1.28,1.168,0.815
54101,1.504,1.885,1.319,1.035,1.301,2.214,1.076,1.069,1.06,0.884,0.873,0.392,0.777,0.622,0.798
37185,2.642,2.095,2.198,1.953,1.861,1.898,1.369,2.473,1.508,1.151,0.901,0.818,1.132,1.1,1.166
13191,0.637,0.753,0.993,0.92,0.875,0.889,0.964,0.921,0.696,0.689,0.56,0.441,0.496,0.461,0.442
13311,1.286,1.235,1.537,1.462,1.65,3.902,1.131,1.057,0.561,0.993,0.7,0.644,0.873,0.519,0.698
51153,4.466,4.154,3.958,3.97,4.056,4.185,3.723,3.887,3.322,2.62,2.404,1.979,2.066,1.809,2.039
37085,2.285,2.141,2.273,1.852,1.844,1.848,2.26,1.719,1.629,1.514,1.243,1.287,1.238,0.872,1.148
45067,1.508,1.577,2.018,1.354,1.569,1.866,1.518,1.176,1.021,1.101,0.757,0.808,0.713,0.587,0.719
36123,3.344,2.719,2.877,2.004,2.305,1.329,1.966,1.511,1.254,1.134,1.627,1.269,0.691,0.808,1.029
13267,0.759,0.906,1.045,1.046,1.19,0.902,0.827,1.023,0.65,0.572,0.55,0.554,0.477,0.42,0.383
13321,0.963,0.866,0.961,1.097,1.079,1.231,1.062,0.966,0.65,0.639,0.645,0.537,0.479,0.408,0.399
45035,1.617,1.568,1.707,1.607,1.609,1.658,1.633,1.193,1.151,1.16,0.851,0.819,0.82,0.606,0.623
36069,3.618,2.228,2.965,2.315,2.17,1.805,2.209,1.888,1.589,1.238,2.282,1.426,0.788,0.966,1.401
13057,3.173,3.377,3.814,3.706,3.566,2.441,2.468,3.534,1.484,1.566,2.334,1.379,1.344,1.474,1.327
13161,0.711,0.734,0.897,0.894,0.941,0.811,0.808,0.868,0.573,0.617,0.385,0.494,0.527,0.415,0.392
13069,0.722,0.711,0.867,0.91,0.786,0.848,0.736,0.888,0.634,0.538,0.431,0.379,0.436,0.363,0.39
36073,5.061,4.806,5.834,5.471,4.29,3.238,3.573,3.081,1.861,2.04,3.354,1.429,1.519,2.061,2.338
36101,1.968,1.99,2.095,1.674,1.993,1.352,1.462,1.894,1.205,1.355,1.188,0.932,0.736,0.86,0.81
34021,5.911,6.323,6.423,6.543,5.378,5.953,9.648,6.015,5.688,4.002,4.155,3.152,3.781,3.274,2.982
13255,2.299,2.412,3.126,2.532,2.376,2.264,1.921,2.072,2.35,1.58,1.554,1.458,1.268,1.011,0.862
54051,5.925,7.142,5.739,6.72,6.075,5.102,4.812,3.699,3.202,2.68,2.804,2.255,2.258,2.163,2.156
54029,6.039,6.89,6.015,5.788,5.946,5.444,6.556,5.119,5.685,4.48,3.93,2.679,3.073,2.78,2.889
42133,4.691,5.13,5.168,3.999,5.06,5.206,4.57,3.662,3.598,2.684,2.88,2.691,2.266,2.397,2.306
37115,1.851,1.299,2.012,1.712,2.094,1.456,1.098,1.04,1.226,1.013,0.767,0.97,0.612,0.955,0.741
37133,1.511,1.413,1.509,1.1,1.413,1.14,1.258,1.067,0.862,0.748,0.629,0.571,0.607,0.486,0.589
54013,3.68,3.406,2.196,2.832,2.7,3.163,2.06,2.155,2.425,2.234,1.267,0.785,0.9,0.921,1.311
51125,2.141,2.317,2.37,1.71,2.076,2.12,1.656,1.544,1.499,1.274,1.378,0.86,1.347,0.875,0.935
51680,2.68,2.6,2.64,1.706,1.941,2.304,2.163,1.963,1.878,1.542,0.855,1.064,1.931,0.92,1.09
13281,1.132,0.996,1.163,1.023,1.173,1.494,0.705,0.907,0.712,0.718,0.545,0.291,0.666,0.459,0.424
13225,1.439,1.3,1.735,1.404,1.747,1.38,1.188,1.252,0.968,0.95,0.832,0.889,0.685,0.626,0.552
51063,1.845,2.028,2.185,1.131,1.317,1.674,1.722,1.591,1.025,1.35,0.928,1.143,0.877,0.805,0.839
36029,4.035,3.421,4.376,3.827,3.02,3.69,2.974,2.875,3.064,2.344,2.63,2.013,1.497,1.76,1.875
13151,3.528,3.585,4.201,3.688,3.703,3.913,3.438,2.974,3.06,2.043,2.72,2.163,2.245,1.64,1.679
51520,3.266,3.373,3.02,2.429,3.953,2.578,1.32,1.794,1.331,1.646,1.873,1.323,1.161,1.142,1.338
54065,5.005,4.753,5.258,4.011,4.434,3.305,2.558,3.52,3.397,2.965,2.35,1.643,1.65,1.979,1.618
51103,2.184,2.189,2.246,1.742,1.999,2.422,2.385,2.259,1.967,1.54,1.195,1.374,0.907,1.042,1.119
36121,3.013,2.657,2.799,2.752,2.137,1.794,2.389,1.347,1.885,1.291,1.25,1.464,0.9,1.488,1.341
42081,4.264,5.377,3.393,4.287,3.925,1.777,1.851,2.098,1.124,1.14,1.276,0.927,0.969,1.289,1.17
51017,2.161,2.283,2.307,1.7,1.912,1.43,1.56,1.092,1.181,0.998,0.837,0.527,0.904,0.714,0.807
51131,3,2.868,2.61,3.008,2.562,3.558,2.312,2.889,2.364,1.907,1.448,1.413,1.617,1.239,1.364
