"FIPS","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
13261,32755,32957,5284,5358,5424,5472,5534,5595,5627,5691,5814,5968,6058,6079,6127
13263,6553,6478,33448,33447,33362,33178,32902,32622,32785,32987,33012,32724,32819,32117,31641
13265,2061,2050,6563,6675,6749,6696,6775,6906,6959,7026,6899,6873,6865,6773,6546
13267,21575,22049,2076,2031,2040,1923,1903,1858,1863,1851,1820,1774,1717,1704,1670
13269,8710,8790,22322,22242,22276,22485,23034,23165,23417,23444,23801,25068,25520,25303,25313
13271,11842,11747,8821,8756,8837,8879,8918,8860,8798,8868,8945,8854,8906,8468,8381
13273,10911,10954,11893,12155,12347,13887,14685,15070,15401,15932,16230,16200,16500,16308,16418
13275,42407,42360,10935,10822,10607,10641,10453,10134,9969,9701,9648,9596,9315,9385,9244
13277,37924,38234,42829,42674,42555,42956,42762,43556,43901,44269,44627,44689,44720,44614,44615
13279,25933,26016,38348,38133,38217,38215,38622,38789,39503,39720,39806,39748,40118,41212,40998
13281,8773,9135,26137,26040,26031,26009,26166,26539,26851,27185,27345,27079,27223,27159,27136
13283,6635,6702,9348,9499,9532,9745,9872,9940,10281,10452,10485,10444,10471,10499,10504
13285,58118,58376,6862,6895,6881,6924,6949,6679,6771,6773,6847,6906,6885,6818,6753
13287,9413,9460,58923,59844,60224,60791,62001,63233,63897,64894,65860,66422,67044,67719,68432
13289,10367,10548,9475,9512,9514,9407,9310,9245,9133,9111,9029,8900,8930,8929,8435
13291,16264,16858,10556,10418,10503,10461,10266,9978,9715,9545,9442,9257,9023,8818,8513
13293,27398,27473,17398,17822,18349,19018,19378,19856,20460,20988,21285,21338,21356,21363,21477
13295,60888,60960,27746,27788,27624,27648,27514,27440,27349,27423,27321,27360,27153,26962,26626
13297,54383,58160,61268,62109,62841,63478,64228,65160,66343,67405,68103,68612,68756,68610,68191
13299,35612,35570,61413,63847,66103,68161,70334,73696,77057,80440,82602,83353,83768,84438,84882
13301,6362,6375,35421,35426,35203,35222,34991,35011,35624,36016,36065,35985,36312,36193,35859
13303,20865,21026,6275,6356,6270,6229,6195,6153,6038,5981,5942,5914,5834,5704,5568
13305,25981,26340,21188,21170,21000,21110,21088,20155,20805,21155,21202,21240,21187,21022,20864
13307,2339,2368,26596,26888,27308,27860,28227,28522,28929,29421,30042,30016,30099,30346,30362
13309,6006,6111,2398,2369,2389,2488,2549,2576,2630,2735,2710,2772,2799,2796,2792
13311,18501,19303,6174,6697,6584,6576,6500,6701,6954,6918,7018,7150,7421,8065,7911
13313,81376,82505,20186,21124,22281,23178,24015,24690,25575,26173,26626,26949,27144,27390,27591
